"Data";"DBGG_PIB"
"01/12/2001";""
"01/01/2002";""
"01/02/2002";""
"01/03/2002";""
"01/04/2002";""
"01/05/2002";""
"01/06/2002";""
"01/07/2002";""
"01/08/2002";""
"01/09/2002";""
"01/10/2002";""
"01/11/2002";""
"01/12/2002";""
"01/01/2003";""
"01/02/2003";""
"01/03/2003";""
"01/04/2003";""
"01/05/2003";""
"01/06/2003";""
"01/07/2003";""
"01/08/2003";""
"01/09/2003";""
"01/10/2003";""
"01/11/2003";""
"01/12/2003";""
"01/01/2004";""
"01/02/2004";""
"01/03/2004";""
"01/04/2004";""
"01/05/2004";""
"01/06/2004";""
"01/07/2004";""
"01/08/2004";""
"01/09/2004";""
"01/10/2004";""
"01/11/2004";""
"01/12/2004";""
"01/01/2005";""
"01/02/2005";""
"01/03/2005";""
"01/04/2005";""
"01/05/2005";""
"01/06/2005";""
"01/07/2005";""
"01/08/2005";""
"01/09/2005";""
"01/10/2005";""
"01/11/2005";""
"01/12/2005";""
"01/01/2006";""
"01/02/2006";""
"01/03/2006";""
"01/04/2006";""
"01/05/2006";""
"01/06/2006";""
"01/07/2006";""
"01/08/2006";""
"01/09/2006";""
"01/10/2006";""
"01/11/2006";""
"01/12/2006";"55,48"
"01/01/2007";"56,17"
"01/02/2007";"56,90"
"01/03/2007";"57,24"
"01/04/2007";"57,17"
"01/05/2007";"57,91"
"01/06/2007";"58,23"
"01/07/2007";"58,32"
"01/08/2007";"58,46"
"01/09/2007";"57,88"
"01/10/2007";"57,49"
"01/11/2007";"57,26"
"01/12/2007";"56,72"
"01/01/2008";"57,51"
"01/02/2008";"57,04"
"01/03/2008";"57,09"
"01/04/2008";"56,52"
"01/05/2008";"55,82"
"01/06/2008";"55,60"
"01/07/2008";"55,53"
"01/08/2008";"54,95"
"01/09/2008";"54,83"
"01/10/2008";"55,05"
"01/11/2008";"54,64"
"01/12/2008";"55,98"
"01/01/2009";"56,87"
"01/02/2009";"57,18"
