Data,PIB - indústria - construção civil - variação real anual - (% a.a.),
1948,17.1,
1949,12.4,
1950,4.7,
1951,15.5,
1952,14.5,
1953,15.2,
1954,-5.09999999999999,
1955,4,
1956,10.8,
1957,2.7,
1958,11.8,
1959,6.2,
1960,13.8,
1961,6.8,
1962,4.40000000000001,
1963,-1.59999999999999,
1964,8.5,
1965,1,
1966,7.90000000000001,
1967,6.3,
1968,16.3,
1969,11.3,
1970,11.2,
1971,12.5,
1972,17.9,
1973,20.9,
1974,9.09999999999999,
1975,8.09999999999999,
1976,10.17,
1977,5.23999999999999,
1978,6.2,
1979,3.70999999999999,
1980,9.04000000000001,
1981,-6.06,
1982,-2.45,
1983,-14.44,
1984,-1.16,
1985,5.95,
1986,17.84,
1987,0.739999999999995,
1988,-3.11,
1989,3.09,
1990,-9.75,
1991,-1.19,
1992,-6.3,
1993,4.49,
1994,6.98801515341438,
1995,-0.425288786600632,
1996,2.21403772814184,
1997,7.60554319367714,
1998,1.5963241826576,
1999,-4.88778844772447,
2000,1.40317982749196,
2001,-1.64440915172032,
2002,4.79481787210956,
2003,-8.94321669612325,
2004,10.744950303971,
2005,-2.09961669033246,
2006,0.263220495444783,
2007,9.19699451203717,
2008,4.90726381372808,
2009,7.02117605259267,
2010,13.1009998851189,
2011,8.24735293122696,
2012,3.18398246154901,
2013,4.49560204647164,
2014,-2.14078536751525,
2015,-9.00451545222938,
2016,-9.98419015059895,
2017,-9.24571291521765,
2018,-2.99183006535948,
2019,1.91507727721145,
2020,-2.08572129519029,
2021,12.6164055822425,
2022,6.8487840047341,
2023,-0.45644114077058,
