Data,PIB - indústria - eletricidade e gás- água- esgoto e limpeza urbana -  variação real anual - (% a.a.),
1948,6.40000000000001,
1949,6.8,
1950,6.7,
1951,5,
1952,-5.5,
1953,0.400000000000006,
1954,7.8,
1955,6.7,
1956,19.8,
1957,17.1,
1958,17.5,
1959,2.2,
1960,2.90000000000001,
1961,3.09999999999999,
1962,9.09999999999999,
1963,0.299999999999997,
1964,6.59999999999999,
1965,15.5,
1966,9.40000000000001,
1967,4.59999999999999,
1968,4.7,
1969,7,
1970,21.9,
1971,12.4,
1972,11.92,
1973,14.55,
1974,12.14,
1975,10.4,
1976,14.29,
1977,12.8,
1978,11.39,
1979,12.61,
1980,10.5,
1981,3.40000000000001,
1982,6.3,
1983,7.8,
1984,12.2,
1985,10.2,
1986,8.3,
1987,3.3,
1988,5.79000000000001,
1989,1.62,
1990,1.81999999999999,
1991,7.06,
1992,-0.13,
1993,4.95,
1994,4.1851547825058,
1995,7.62919611389925,
1996,3.11720698156714,
1997,5.9046728000417,
1998,1.24271667880529,
1999,0.543601359003265,
2000,4.15856846055889,
2001,-7.67432755975289,
2002,4.26409587140257,
2003,3.717380084751,
2004,6.001393165965,
2005,3.14560483113508,
2006,4.13739524042758,
2007,6.12487912696065,
2008,2.58050660858951,
2009,0.743359464374227,
2010,6.27570537882927,
2011,5.60625955184364,
2012,0.682328989407277,
2013,1.60126904312952,
2014,-1.94358852808723,
2015,-0.392657621707904,
2016,6.47167222749891,
2017,0.923323128305031,
2018,3.66418760640546,
2019,2.57768340984526,
2020,-1.00962999444625,
2021,1.54701786602396,
2022,10.5174401803872,
2023,6.51850970714303,
