Data,PIB - preços de mercado - variação real anual - (% a.a.),PIB - formação bruta de capital fixo - máquinas e equipamentos -  índice real (base 2010 = 100),PIB - formação bruta de capital fixo - índice real (base 2010 = 100),PIB - formação bruta de capital fixo - construção - índice real (base 2010 = 100),PIB - serviços - comércio - variação real anual - (% a.a.),PIB - indústria - construção civil - variação real anual - (% a.a.),PIB - consumo final - famílias,PIB - indústria - eletricidade e gás- água- esgoto e limpeza urbana -  variação real anual - (% a.a.),PIB - exportações - bens e serviços - variação real anual - (% a.a.),PIB - importações - bens e serviços - variação real anual - (% a.a.),PIB - indústria - extrativa - variação real anual - (% a.a.),PIB - indústria - transformação - variação real anual - (% a.a.),IGP-M,IPCA,ptax,Resultado Primario,IED,DBGG_PIB,Selic Meta
1902,-0.483091787439605,,,,,,,,,,,,,,,,,,
1903,1.94174757281553,,,,,,,,,,,,,,,,,,
1904,1.42857142857142,,,,,,,,,,,,,,,,,,
1905,3.28638497652582,,,,,,,,,,,,,,,,,,
1906,12.7272727272727,,,,,,,,,,,,,,,,,,
1907,0.806451612903225,,,,,,,,,,,,,,,,,,
1908,-3.2,,,,,,,,,,,,,,,,,,
1909,10.3305785123967,,,,,,,,,,,,,,,,,,
1910,2.62172284644195,,,,,,,,,,,,,,,,,,
1911,5.83941605839418,,,,,,,,,,,,,,,,,,
1912,6.89655172413792,,,,,,,,,,,,,,,,,,
1913,2.90322580645161,,,,,,,,,,,,,,,,,,
1914,-1.2539184952978,,,,,,,,,,,,,,,,,,
1915,0.317460317460316,,,,,,,,,,,,,,,,,,
1916,0.949367088607578,,,,,,,,,,,,,,,,,,
1917,9.40438871473355,,,,,,,,,,,,,,,,,,
1918,-2.00573065902577,,,,,,,,,,,,,,,,,,
1919,7.89473684210524,,,,,,,,,,,,,,,,,,
1920,12.4661246612466,,,,,,,,,,,,,,,,,,
1921,1.9,,,,,,,,,,,,,,,,,,
1922,7.8,,,,,,,,,,,,,,,,,,
1923,8.6,,,,,,,,,,,,,,,,,,
1924,1.4,,,,,,,,,,,,,,,,,,
1925,0.0,,,,,,,,,,,,,,,,,,
1926,5.2,,,,,,,,,,,,,,,,,,
1927,10.8,,,,,,,,,,,,,,,,,,
