Data,PIB - preços de mercado - variação real anual - (% a.a.),PIB - formação bruta de capital fixo - máquinas e equipamentos -  índice real (base 2010 = 100),PIB - formação bruta de capital fixo - índice real (base 2010 = 100),PIB - formação bruta de capital fixo - construção - índice real (base 2010 = 100),PIB - serviços - comércio - variação real anual - (% a.a.),PIB - indústria - construção civil - variação real anual - (% a.a.),PIB - consumo final - famílias,PIB - indústria - eletricidade e gás- água- esgoto e limpeza urbana -  variação real anual - (% a.a.),PIB - exportações - bens e serviços - variação real anual - (% a.a.),PIB - importações - bens e serviços - variação real anual - (% a.a.),PIB - indústria - extrativa - variação real anual - (% a.a.),PIB - indústria - transformação - variação real anual - (% a.a.),IGP-M,IPCA,ptax,Resultado Primario,IED,DBGG_PIB,Selic Meta
1995,4.22379363364715,49.3019214151219,58.2917857194705,64.7900925938066,8.53313567574077,-0.425288786600632,,7.62919611389925,-2.03166106503928,30.68487705149,3.72596255547404,1.99421606574309,15.2470916705444,22.4081616590914,0.9195,-154.87000000000003,384.85,,
1996,2.20886405051457,48.5918114358911,58.9886763407281,68.5881325044789,1.81337204420875,2.21403772814184,,3.11720698156714,-0.419864468241971,5.59431515900628,2.43805359726208,0.080220770339956,9.1994864050778,9.56495181758998,1.0041,79.145,658.9000000000001,,24.60485
1997,3.39484598531594,53.359692725007,63.9544105869862,74.8437276514671,3.85429847894014,7.60554319367714,,5.9046728000417,11.019288717273,14.5950769056454,4.99778204938641,2.49340781764706,7.74265113699391,5.22431853525425,1.07775,188.71,1640.0,,20.6976
1998,0.338097901952324,52.1423613320419,63.8496271752099,76.0725052696249,-1.87050866563332,1.5963241826576,,1.24271667880529,4.90820532034464,-0.0566612366313279,3.6165577342046,-4.84114430986792,1.78180445451115,1.65497817994227,1.1575,-155.765,2370.45,,21.75
1999,0.46793756667951,43.9253744295224,58.1827796989989,72.9447076961307,-2.21987934165065,-4.88778844772447,,0.543601359003265,5.70628958609523,-15.094145488219,-4.36236268110187,-1.86260102865593,20.1010175937852,8.93978878068851,1.84505,-1965.565,2163.0,,21.0
2000,4.38794944364879,48.186034304903,60.9832283590523,74.3968994266818,4.49450324195442,1.40317982749196,,4.15856846055889,12.860549342007,10.7985866951406,9.08791570628915,5.68958369552104,9.9540143403388,5.97459334239816,1.81115,-1915.15,2247.6000000000004,,17.5
2001,1.38989640445809,49.0051968880863,61.7787396400534,73.8017242312684,1.84337261837939,-1.64440915172032,0.758385231923086,-7.67432755975289,9.23052690934692,3.33140284537939,5.40159173815298,0.713388279963079,10.3846762703815,7.67343641407332,2.36015,-1921.6149999999998,1840.95,,18.25
2002,3.05346185683617,45.7708538934726,60.8867937623378,74.3921380251185,-2.36230879628064,4.79481787210956,1.17491559055702,4.26409587140257,6.47682195592235,-13.307268998103,15.2335777231508,2.09300492306808,25.3068286431998,12.5302733566877,2.8543,-2117.0600000000004,1337.1999999999998,,18.5
2003,1.14082899877108,44.351957422775,58.4607519350969,68.8871198112597,-0.392079659985711,-8.94321669612325,-0.447895471858288,3.717380084751,11.0159394107963,-0.483497207177123,4.58276370866706,2.6593694710497,8.70833287185222,9.30051280040003,2.9426,-3407.13,792.8499999999999,,25.0
2004,5.75996463685999,49.5411364412397,63.422294554179,74.1225409169155,9.27104358000919,10.744950303971,3.95724808137436,6.001393165965,14.4737797057476,10.3640452499577,-0.469343083451712,9.08282063968671,12.4127625613421,7.59949584882642,2.90855,-4765.16,1017.5,,16.25
2005,3.20213206216241,52.3649812183903,64.6630260454504,73.0848253440787,3.11267874773347,-2.09961669033246,4.48371155015543,3.14560483113508,9.64417359655363,7.46133300435609,6.80708347715642,2.24270792211123,1.20874307034635,5.68922681873509,2.3897,-5061.639999999999,1280.0,,19.25
