Data,PIB - formação bruta de capital fixo - máquinas e equipamentos -  índice real (base 2010 = 100),
1970,23.9632547765782,
1971,28.6778769102679,
1972,32.965317283504,
1973,39.92281636025,
1974,47.3560659409569,
1975,52.8526152470408,
1976,53.9875459139185,
1977,48.4055110509521,
1978,47.6059606870984,
1979,50.2622393031087,
1980,53.7231944046117,
1981,41.9536168751472,
1982,36.0720243375915,
1983,27.9101713797191,
1984,30.3445280543502,
1985,34.1779947404134,
1986,44.1144430587151,
1987,42.581232458946,
1988,38.7557968484569,
1989,37.2789548262249,
1990,32.8232369506553,
1991,29.5539232008627,
1992,27.3680064043455,
1993,29.9939365050664,
1994,39.8698994330204,
1995,49.3019214151219,
1996,48.5918114358911,
1997,53.359692725007,
1998,52.1423613320419,
1999,43.9253744295224,
2000,48.186034304903,
2001,49.0051968880863,
2002,45.7708538934726,
2003,44.351957422775,
2004,49.5411364412397,
2005,52.3649812183903,
2006,58.6487789645972,
2007,71.3169152209501,
2008,86.4361012477916,
2009,77.1010023130301,
2010,100,
2011,105.7,
2012,101.472,
2013,111.11184,
2014,103.3340112,
2015,80.2905267024,
2016,66.4002655828848,
2017,69.8530793931948,
2018,80.6104536197468,
2019,82.3838835993812,
2020,78.8413766046078,
2021,87.5927694077193,
2022,81.110904471548,
2023,73.4864794512225,
