Data,PIB - importações - bens e serviços - variação real anual - (% a.a.),
1971,19.6902170375218,
1972,20.125838313729,
1973,20.4114069151119,
1974,28.2420833258467,
1975,-4.42398770682674,
1976,-1.16295558579146,
1977,-7.72250524632599,
1978,4.40296834964236,
1979,8.39700091134525,
1980,0.686537490243033,
1981,-12.3613188197058,
1982,-6.00432865468745,
1983,-17.4474962818296,
1984,-2.98377190460345,
1985,0.0538218177227545,
1986,28.6239222685139,
1987,-2.9429332231767,
1988,-1.11027573050153,
1989,8.97680500254705,
1990,10.9445417980357,
1991,11.096781783956,
1992,4.52336435207523,
1993,26.77738489803,
1994,20.3462240990554,
1995,30.68487705149,
1996,5.59431515900628,
1997,14.5950769056454,
1998,-0.0566612366313279,
1999,-15.094145488219,
2000,10.7985866951406,
2001,3.33140284537939,
2002,-13.307268998103,
2003,-0.483497207177123,
2004,10.3640452499577,
2005,7.46133300435609,
2006,17.7625845710676,
2007,19.557598662131,
2008,17.0257102761014,
2009,-7.60196748194868,
2010,33.6390246777822,
2011,9.39326347823079,
2012,1.13085173688319,
2013,6.66967929617444,
2014,-2.2718955924344,
2015,-14.1906368524759,
2016,-10.3429328257067,
2017,6.71694072859938,
2018,7.74277894373836,
2019,1.33256606187228,
2020,-9.47663900848441,
2021,13.7520532599674,
2022,0.951493762686173,
2023,-1.19027928892613,
