"Data";"Resultado Primario"
"01/01/1991";"0,03"
"01/02/1991";"-0,08"
"01/03/1991";"-0,01"
"01/04/1991";"-0,15"
"01/05/1991";"-0,08"
"01/06/1991";"0,12"
"01/07/1991";"-0,14"
"01/08/1991";"0,05"
"01/09/1991";"0,07"
"01/10/1991";"0,24"
"01/11/1991";"-0,31"
"01/12/1991";"-0,33"
"01/01/1992";"-0,20"
"01/02/1992";"-0,11"
"01/03/1992";"0,38"
"01/04/1992";"-1,43"
"01/05/1992";"-0,36"
"01/06/1992";"-0,11"
"01/07/1992";"-0,99"
"01/08/1992";"-1,74"
"01/09/1992";"0,32"
"01/10/1992";"-0,41"
"01/11/1992";"-2,41"
"01/12/1992";"0,00"
"01/01/1993";"-10,43"
"01/02/1993";"3,25"
"01/03/1993";"-7,37"
"01/04/1993";"-5,26"
"01/05/1993";"-28,90"
"01/06/1993";"-6,34"
"01/07/1993";"5,51"
"01/08/1993";"30,05"
"01/09/1993";"-27,50"
"01/10/1993";"-19,33"
"01/11/1993";"-67,17"
"01/12/1993";"19,09"
"01/01/1994";"-181,26"
"01/02/1994";"-150,86"
"01/03/1994";"-297,42"
"01/04/1994";"-511,17"
"01/05/1994";"-388,87"
"01/06/1994";"-1042,07"
"01/07/1994";"-784,82"
"01/08/1994";"-2195,08"
"01/09/1994";"-1420,11"
"01/10/1994";"-3084,40"
"01/11/1994";"-200,96"
"01/12/1994";"-1101,91"
"01/01/1995";"-1835,12"
"01/02/1995";"1632,38"
"01/03/1995";"-2126,17"
"01/04/1995";"-2624,58"
"01/05/1995";"-2513,08"
"01/06/1995";"1119,26"
"01/07/1995";"285,21"
"01/08/1995";"-538,44"
"01/09/1995";"228,70"
"01/10/1995";"-628,21"
"01/11/1995";"896,84"
"01/12/1995";"2767,46"
"01/01/1996";"414,87"
"01/02/1996";"-94,67"
"01/03/1996";"-3778,29"
"01/04/1996";"1482,00"
"01/05/1996";"-1077,37"
"01/06/1996";"815,36"
"01/07/1996";"-783,77"
"01/08/1996";"281,87"
